Employee ID | Full Name               | SSN           | Department       | Salary     | Email
H0264       | Justin Davis             | 416-66-1765    | Defensive Strategies| $186,768  | justin.davis@hackteam.org
H0265       | Jesse White              | 532-07-2944    | Exploitation      | $129,631  | jesse.white@phishersparadise.io
H0266       | Elizabeth Cole           | 287-01-0964    | Reconnaissance    | $150,916  | elizabeth.cole@hackteam.org
H0267       | Jill Todd                | 149-29-8580    | Reconnaissance    | $199,052  | jill.todd@exploitops.net
H0268       | Jeffrey Meyer            | 142-06-8181    | Social Engineering| $196,425  | jeffrey.meyer@cyberhire.com
H0269       | Kelly Mathis             | 594-05-4996    | Defensive Strategies| $126,225  | kelly.mathis@hackteam.org
H0270       | Frank Adams              | 709-48-8385    | Defensive Strategies| $140,462  | frank.adams@cyberhire.com
H0271       | Christopher Garcia       | 729-14-4055    | Exploitation      | $175,892  | christopher.garcia@cyberhire.com
H0272       | Deanna Stanley           | 012-28-4659    | Exploitation      | $98,686   | deanna.stanley@hackteam.org
H0273       | Craig Coleman            | 707-15-1953    | Offensive Operations| $172,460  | craig.coleman@phishersparadise.io
H0274       | Kimberly Sutton          | 888-19-0412    | Social Engineering| $157,432  | kimberly.sutton@exploitops.net
H0275       | April Parker             | 781-71-8773    | Social Engineering| $72,542   | april.parker@hackteam.org
H0276       | Jennifer Roberts         | 764-78-5017    | Reconnaissance    | $123,885  | jennifer.roberts@cyberhire.com
H0277       | Emily Juarez             | 239-50-2076    | Defensive Strategies| $139,609  | emily.juarez@cyberhire.com
H0278       | James Thornton           | 846-25-4438    | Offensive Operations| $171,025  | james.thornton@hackteam.org
H0279       | Courtney Perez           | 690-32-8603    | Social Engineering| $75,943   | courtney.perez@phishersparadise.io
H0280       | James Brown              | 810-37-8151    | Offensive Operations| $140,179  | james.brown@hackteam.org
H0281       | Amy Sanders              | 172-53-5478    | Reconnaissance    | $74,606   | amy.sanders@exploitops.net
H0282       | Tony Ayala               | 782-10-0683    | Exploitation      | $143,147  | tony.ayala@cyberhire.com
H0283       | Andre Becker             | 815-54-3095    | Offensive Operations| $188,238  | andre.becker@phishersparadise.io
H0284       | Kathryn Anderson         | 177-55-0580    | Social Engineering| $135,522  | kathryn.anderson@cyberhire.com
H0285       | Gregory White            | 566-29-1976    | Exploitation      | $116,096  | gregory.white@cyberhire.com
H0286       | Janice Rowe              | 059-41-8857    | Offensive Operations| $199,287  | janice.rowe@exploitops.net
H0287       | Robert Howard            | 309-44-0255    | Defensive Strategies| $139,198  | robert.howard@hackteam.org
H0288       | Dennis Bowman            | 174-88-4078    | Exploitation      | $187,134  | dennis.bowman@cyberhire.com
H0289       | Kevin Smith              | 782-04-8698    | Offensive Operations| $77,198   | kevin.smith@hackteam.org
H0290       | Deborah Stevenson        | 675-91-7177    | Defensive Strategies| $153,382  | deborah.stevenson@phishersparadise.io
H0291       | Mark Smith               | 025-23-8445    | Exploitation      | $86,367   | mark.smith@phishersparadise.io
H0292       | Lisa Reed MD             | 738-04-1813    | Social Engineering| $124,707  | lisa.reed.md@hackteam.org
H0293       | Kimberly Schaefer        | 781-66-5683    | Reconnaissance    | $177,147  | kimberly.schaefer@hackteam.org
H0294       | Calvin Atkins            | 873-94-2507    | Exploitation      | $98,548   | calvin.atkins@hackteam.org
H0295       | Amy Hughes MD            | 891-67-5374    | Offensive Operations| $74,220   | amy.hughes.md@phishersparadise.io
H0296       | Adam Zhang               | 751-23-4501    | Exploitation      | $120,516  | adam.zhang@phishersparadise.io
H0297       | Lindsay Miller           | 663-70-5003    | Defensive Strategies| $171,297  | lindsay.miller@cyberhire.com
H0298       | Debra Freeman            | 410-73-2456    | Reconnaissance    | $74,414   | debra.freeman@cyberhire.com
H0299       | William Austin           | 523-85-9892    | Offensive Operations| $180,890  | william.austin@exploitops.net
H0300       | Dawn Keller              | 328-32-5772    | Exploitation      | $106,379  | dawn.keller@cyberhire.com
